District_C11ID,Area.Other.Kharif.Pulses,Prod.Other.Kharif.Pulses,Yield.Other.Kharif.Pulses,Area.Moong,Prod.Moong,Yield.Moong,Area.Moth,Prod.Moth,Yield.Moth,Area.Other.Rabi.Pulses,Prod.Other.Rabi.Pulses,Yield.Other.Rabi.Pulses,Area.Peas...Beans..Pulses.,Prod.Peas...Beans..Pulses.,Yield.Peas...Beans..Pulses.,Area.Urad,Prod.Urad,Yield.Urad,Area.Gram,Prod.Gram,Yield.Gram,Area.Masoor,Prod.Masoor,Yield.Masoor,Area.HorseGram,Prod.HorseGram,Yield.HorseGram,Area.Arhar..Tur.,Prod.Arhar..Tur.,Yield.Arhar..Tur.,areaTot,prodTot,yieldTot,diversity,dominant_pulses
506,250,100,0.625,282,145.5454545,0.53,NA,NA,NA,14080,5560,0.382,NA,NA,NA,182,100.0909091,0.657272727,4845.454545,2651.272727,0.524545455,NA,NA,NA,NA,NA,NA,6617,5152.181818,0.791818182,26256.45455,13709.09091,0.522122699,2.594810659,Area.Other.Rabi.Pulses
507,400,140,0.288,111.2222222,80.11111111,0.8,NA,NA,NA,7980,3120,0.38,NA,NA,NA,218.4545455,118.2727273,0.605454545,2832.181818,1330.272727,0.460909091,NA,NA,NA,NA,NA,NA,4286.636364,3340.454545,0.793636364,15828.49495,8129.111111,0.513574483,2.77463546,Area.Other.Rabi.Pulses
508,1420,440,0.296,154.7272727,92.81818182,0.690909091,NA,NA,NA,13140,4860,0.374,NA,NA,NA,136.5454545,91,0.727272727,2657.636364,1265.272727,0.471818182,NA,NA,NA,NA,NA,NA,2639.454545,2066.272727,0.790909091,20148.36364,8815.363636,0.43752256,2.150782172,Area.Other.Rabi.Pulses
509,2060,760,0.368,846.0909091,382.0909091,0.459090909,NA,NA,NA,23000,8740,0.366,NA,NA,NA,509.4545455,236.4545455,0.463636364,20330.27273,9745.636364,0.465454545,NA,NA,NA,NA,NA,NA,25356.90909,15855.90909,0.603636364,72102.72727,35720.09091,0.495405545,3.268635382,Area.Arhar..Tur.
510,4400,1440,0.324,27678.09091,10299.27273,0.386363636,NA,NA,NA,460,200,0.432,NA,NA,NA,15475.72727,6272.090909,0.416363636,24876.72727,18498.63636,0.700909091,NA,NA,NA,NA,NA,NA,98579.18182,87211,0.89,171469.7273,123921,0.722698997,2.587770421,Area.Arhar..Tur.
511,1920,560,0.27,31826.63636,14411.45455,0.431818182,NA,NA,NA,833.3333333,366.6666667,0.436666667,NA,NA,NA,51336,24873.45455,0.453636364,37829.63636,25300.45455,0.672727273,NA,NA,NA,NA,NA,NA,51310.09091,35552.27273,0.703636364,175055.697,101064.303,0.577326558,3.971291116,Area.Urad
512,425,125,0.38,18503.45455,7953,0.441818182,NA,NA,NA,720,360,0.502,NA,NA,NA,15575,7370.272727,0.482727273,27086.63636,17600.09091,0.653636364,NA,NA,NA,NA,NA,NA,23807.54545,18790.72727,0.849090909,86117.63636,52199.09091,0.60613706,3.931965383,Area.Gram
513,800,200,0.256,55854.36364,19930.72727,0.383636364,NA,NA,NA,1660,740,0.446,NA,NA,NA,13481.18182,4847.454545,0.378181818,42254.36364,23904.72727,0.565454545,NA,NA,NA,NA,NA,NA,52410.81818,27814.27273,0.55,166460.7273,77437.18182,0.465197906,3.535608318,Area.Moong
514,10980,2560,0.21,40429.90909,18090.81818,0.434545455,NA,NA,NA,440,160,0.364,NA,NA,NA,14683.36364,7457.818182,0.494545455,15513.18182,10855.54545,0.683636364,NA,NA,NA,NA,NA,NA,43617.63636,28459.09091,0.669090909,125664.0909,67583.27273,0.53780895,3.838385836,Area.Arhar..Tur.
515,8040,1940,0.226,10328,5555.090909,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,4613.545455,2903.363636,0.642727273,40226.81818,28541.54545,0.695454545,NA,NA,NA,NA,NA,NA,38246.72727,21282,0.558181818,101455.0909,60222,0.59358283,3.144283337,Area.Gram
516,23080,7640,0.33,8092,6398.454545,0.772727273,NA,NA,NA,1360,580,0.42,NA,NA,NA,11321.09091,8636.909091,0.766363636,32592.18182,20355.45455,0.622727273,NA,NA,NA,NA,NA,NA,8236.818182,4779.545455,0.588181818,84682.09091,48390.36364,0.571435626,3.858977213,Area.Gram
517,1300,460,0.344,782.5454545,418.6363636,0.549090909,NA,NA,NA,5440,2420,0.442,NA,NA,NA,4567.909091,3457,0.738181818,3621.909091,2412.090909,0.676363636,NA,NA,NA,NA,NA,NA,2720.818182,1492.909091,0.560909091,18433.18182,10660.63636,0.578339457,4.636585527,Area.Other.Rabi.Pulses
520,560,200,0.352,163.9090909,100.1818182,0.727272727,NA,NA,NA,8780,3540,0.398,NA,NA,NA,582.4545455,445.8181818,0.742727273,1565.363636,1046.818182,0.682727273,NA,NA,NA,NA,NA,NA,964.6363636,518.9090909,0.557272727,12616.36364,5851.727273,0.463820435,1.961485901,Area.Other.Rabi.Pulses
521,14740,3900,0.246,5661,2758.636364,0.512727273,NA,NA,NA,8860,3160,0.328,NA,NA,NA,1983.909091,1592.818182,0.814545455,45595.36364,31216,0.676363636,NA,NA,NA,NA,NA,NA,3067.181818,1792.545455,0.578181818,79907.45455,44420,0.555893067,2.638409568,Area.Gram
522,13720,3340,0.234,12564.54545,5604,0.437272727,NA,NA,NA,500,180,0.298,NA,NA,NA,4944.818182,2403.272727,0.445454545,70124.81818,45463.90909,0.625454545,NA,NA,NA,NA,NA,NA,11658.72727,5225.363636,0.445454545,113512.9091,62216.54545,0.548101057,2.375488508,Area.Gram
523,9540,2680,0.272,9120,4968.363636,0.533636364,NA,NA,NA,2520,1040,0.402,NA,NA,NA,8358.090909,4799.272727,0.584545455,33778.18182,19403.09091,0.56,NA,NA,NA,NA,NA,NA,46191.90909,23692.54545,0.513636364,109508.1818,56583.27273,0.516703609,3.401947401,Area.Arhar..Tur.
524,2860,680,0.22,19978.72727,5407.363636,0.25,NA,NA,NA,1380,460,0.328,NA,NA,NA,57723.90909,17355,0.281818182,45093,27638.54545,0.589090909,NA,NA,NA,NA,NA,NA,69748.90909,57407.45455,0.843636364,196784.5455,108948.3636,0.553642886,3.639634811,Area.Arhar..Tur.
525,2340,520,0.224,16957.36364,5154.363636,0.307272727,NA,NA,NA,1100,320,0.288,NA,NA,NA,41417.09091,14208.36364,0.341818182,60298.54545,36076.45455,0.597272727,NA,NA,NA,NA,NA,NA,72654.54545,41541.09091,0.62,194767.5455,97820.27273,0.502241133,3.472506856,Area.Arhar..Tur.
526,12300,3020,0.21,2239.272727,1302.272727,0.57,NA,NA,NA,250,100,0.375,NA,NA,NA,4113.363636,2111.090909,0.540909091,35873,21619.09091,0.592727273,NA,NA,NA,NA,NA,NA,17741.54545,6401,0.336363636,72517.18182,34553.45455,0.47648645,2.962802944,Area.Gram
527,29740,11880,0.378,4651.636364,2604.181818,0.579090909,NA,NA,NA,1040,600,0.602,NA,NA,NA,4313.727273,2685.090909,0.635454545,22863.81818,14636.54545,0.630909091,NA,NA,NA,NA,NA,NA,4804.727273,2120.363636,0.451818182,67413.90909,34526.18182,0.5121522,3.088154272,Area.Other.Kharif.Pulses
528,820,360,0.42,154.7272727,109.1818182,0.772727273,NA,NA,NA,5620,2400,0.424,NA,NA,NA,373.0909091,272.9090909,0.713636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,536.9090909,291.3636364,0.569090909,7504.727273,3433.454545,0.457505572,1.721920387,Area.Other.Rabi.Pulses
529,1380,460,0.332,91,75.72727273,0.847272727,NA,NA,NA,4760,2100,0.438,NA,NA,NA,282.0909091,218.3636364,0.759090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6513.090909,2854.090909,0.438208364,1.720916857,Area.Other.Rabi.Pulses
530,4560,1680,0.364,2402.454545,1191.6,0.516,NA,NA,NA,3140,1320,0.422,NA,NA,NA,2548.090909,1302.181818,0.544545455,9727.181818,7435.727273,0.789090909,NA,NA,NA,NA,NA,NA,2402.545455,1092.090909,0.453636364,24780.27273,14021.6,0.565837195,4.284908866,Area.Gram
531,24400,6280,0.226,5298.727273,2495.181818,0.425454545,NA,NA,NA,325,200,0.585,NA,NA,NA,6337.818182,3009.363636,0.447272727,26536.27273,18997.81818,0.721818182,NA,NA,NA,NA,NA,NA,9558.636364,4269.818182,0.453636364,72456.45455,35252.18182,0.486529213,3.597692555,Area.Gram
532,1670.5,353.625,0.2075,17104.7,5301.8,0.325,NA,NA,NA,1042.125,186.125,0.21,NA,NA,NA,19682.8,11155.2,0.559,10759.1,15072.3,1.262,NA,NA,NA,1470.4,501.4,0.361,39678.2,19291.1,0.49,91407.825,51861.55,0.567364446,3.516371529,Area.Arhar..Tur.
533,229.8571429,48.14285714,0.222857143,16725.4,5984.9,0.363,NA,NA,NA,284.4,248.1,0.549,NA,NA,NA,16856.9,7050.1,0.422,12639.6,22253.3,1.43,NA,NA,NA,72.75,25,0.325,3030.7,1778.3,0.572,49839.60714,37387.84286,0.750163274,3.388897589,Area.Urad
534,1210,412.5,0.367,20681.5,6889.8,0.338,NA,NA,NA,2644.714286,866.4285714,0.311428571,NA,NA,NA,701.6666667,314,0.567777778,3142.4,3671.6,1.16,NA,NA,NA,1230.777778,346.2222222,0.285555556,9371.9,4728.2,0.496,38982.95873,17228.75079,0.441955956,2.835750071,Area.Moong
535,1561.875,332.625,0.28,56004.5,23012.4,0.393,NA,NA,NA,839.8888889,272.1111111,0.304444444,NA,NA,NA,23644.9,9110.3,0.384,33139,36009.1,1.071,NA,NA,NA,524.8888889,148.2222222,0.291111111,23041.5,9378.3,0.407,138756.5528,78263.05833,0.56403144,3.613548124,Area.Moong
537,369.1666667,89.16666667,0.258333333,15793.4,5749.6,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,8525.3,3654.1,0.43,5994.7,7118.3,1.169,NA,NA,NA,985.4444444,331.4444444,0.344444444,34227.6,20086.3,0.59,65895.61111,37028.91111,0.561932889,2.83679045,Area.Arhar..Tur.
538,674.5714286,141.5714286,0.197142857,36857,4217.6,0.147,NA,NA,NA,66.83333333,18.33333333,0.293333333,NA,NA,NA,2859.1,1388.8,0.48,14851.9,21266,1.331,NA,NA,NA,5483.5,2350.1,0.444,66341.1,26375,0.406,127134.0048,55757.40476,0.438571922,2.685400671,Area.Arhar..Tur.
539,23,5.333333333,0.13,44569.3,19417.8,0.39,NA,NA,NA,1011,343.3333333,0.333333333,NA,NA,NA,4598.6,1504.7,0.429,613,729.3333333,1.167777778,NA,NA,NA,2663.9,782.2,0.291,34427.5,13898.1,0.387,87906.3,36680.8,0.417271572,2.413855668,Area.Moong
540,391.7142857,73.85714286,0.18,27071.7,12967.4,0.486,NA,NA,NA,1610.857143,519.8571429,0.31,NA,NA,NA,2242.6,1089.6,0.534,1583.7,1640.7,1.002,NA,NA,NA,776.6,206.1111111,0.286666667,24450,10346.7,0.435,58127.17143,26844.2254,0.461818883,2.51852126,Area.Moong
541,223.2,46,0.198,28547.8,14469.7,0.506,NA,NA,NA,3847.666667,1516.5,0.396666667,NA,NA,NA,6870.8,4581.7,0.665,147.2857143,187.5714286,1.214285714,NA,NA,NA,253,61.44444444,0.286666667,22730.6,12194.5,0.538,62620.35238,33057.41587,0.527902106,2.813383864,Area.Moong
542,33.42857143,18.57142857,0.51,30622.1,12755.7,0.412,NA,NA,NA,10,1,0.1,NA,NA,NA,39812.7,17712.2,0.437,15.66666667,27.66666667,1.77,NA,NA,NA,12115.4,5950.9,0.494,1608.2,875,0.552,84217.49524,37341.0381,0.443388134,2.654277234,Area.Urad
543,NA,NA,NA,17924.1,6281.9,0.347,NA,NA,NA,12.5,5.5,0.35,NA,NA,NA,12748.5,5530.4,0.437,134.2857143,241.2857143,1.854285714,NA,NA,NA,20809.7,7529.8,0.374,1735.1,956.9,0.552,53364.18571,20545.78571,0.38501076,3.095803053,Area.HorseGram
544,1917.6,996.1111111,0.53,4813.5,1750.9,0.362,NA,NA,NA,989,927.4,0.657,NA,NA,NA,5330.9,2711.1,0.509,52.85714286,95.14285714,1.854285714,NA,NA,NA,4675.4,3054.2,0.649,4064.9,1645,0.418,21844.15714,11179.85397,0.511800657,5.042496488,Area.Urad
545,8.333333333,4,0.513333333,56623.4,13190.5,0.235,NA,NA,NA,485.6666667,229,0.465,NA,NA,NA,49524.6,12927.2,0.252,306.375,439.25,1.76,NA,NA,NA,910.5,449.9,0.497,1115.2,675.8,0.608,108974.075,27915.65,0.256167809,2.097637183,Area.Moong
546,79.33333333,33,0.425,4402.6,1817.2,0.419,NA,NA,NA,710.5714286,298.1428571,0.41,NA,NA,NA,12731.4,6035.1,0.515,70.33333333,117,1.956666667,NA,NA,NA,383.1111111,165.6666667,0.438888889,534.875,257.75,0.51375,18912.22421,8723.859524,0.46128152,1.960702452,Area.Urad
547,389,232,0.6,20047.1,9413.2,0.475,NA,NA,NA,4.75,2.25,0.3325,NA,NA,NA,119830.8,106345.2,0.888,475.875,842.625,1.8875,NA,NA,NA,457.5555556,198,0.435555556,6757.1,3952.6,0.599,147962.1806,120985.875,0.817681076,1.478489238,Area.Urad
548,NA,NA,NA,15951.3,6705,0.457,NA,NA,NA,98,25,0.26,NA,NA,NA,108457,71302.4,0.623,9006.7,14979.1,1.705,NA,NA,NA,31,17.66666667,0.376666667,32706.8,24042.7,0.772,166250.8,117071.8667,0.704188291,2.098940163,Area.Urad
549,18.75,8,0.4625,19157,7749.8,0.463,NA,NA,NA,248.1666667,111.3333333,0.383333333,NA,NA,NA,23137.6,13284.7,0.603,78273.7,134307.3,1.757,NA,NA,NA,888.8888889,366,0.436666667,68741,33480.1,0.46,190465.1056,189307.2333,0.993920817,3.086011596,Area.Gram
550,68.5,29,0.415,4069.1,1905.4,0.465,NA,NA,NA,862,449.3333333,0.555,NA,NA,NA,28250.7,15378.4,0.544,5599.1,7784.8,1.609,NA,NA,NA,320,120.6666667,0.438888889,1655.4,833.9,0.537,40824.8,26501.5,0.649151986,1.961704606,Area.Urad
551,464.125,77,0.225,503.1111111,198.5555556,0.395555556,NA,NA,NA,54.6,15.4,0.504,NA,NA,NA,589.3333333,350.5555556,0.561111111,52911.4,47934.4,0.98,NA,NA,NA,1285.8,509.2222222,0.378888889,15467.2,4532.2,0.286,71275.56944,53617.33333,0.752254016,1.670393907,Area.Gram
552,190.8571429,31.71428571,0.214285714,5651.2,2551.1,0.414,NA,NA,NA,48.85714286,15.28571429,0.341428571,NA,NA,NA,6261,3220,0.508,162293,208115.4,1.222,NA,NA,NA,1288.9,641.6,0.503,33148.9,15509.6,0.464,208882.7143,230084.7,1.101501868,1.586000447,Area.Gram
553,1325.555556,184.6666667,0.188888889,1126,463.4444444,0.386666667,NA,NA,NA,9,2,0.59,NA,NA,NA,259.4285714,133.2857143,0.491428571,60252.4,44991.5,0.709,NA,NA,NA,2324.7,1267.666667,0.39,31833.6,10082.7,0.311,97130.68413,57125.26349,0.588127882,2.027925776,Area.Gram
554,2479.2,702.7,0.303,568.2,203,0.381111111,NA,NA,NA,21.16666667,6.333333333,0.27,NA,NA,NA,466.3333333,260.2222222,0.535555556,8.6,17.8,1.42,NA,NA,NA,7072.9,3610.9,0.497,6575.1,1397.6,0.209,17191.5,6198.555556,0.36055932,2.95709937,Area.HorseGram
555,5705.7,1964.3,0.345,26808.7,3624.8,0.136,NA,NA,NA,1358.6,257.8,0.183,88.5,402,5.085,2839.2,750.7,0.257,41109.6,17351,0.415,NA,NA,NA,7631.555556,3203.111111,0.406666667,5347.1,1673.3,0.292,90888.95556,29227.01111,0.321568346,3.254837701,Area.Gram
556,1765.1,486.8,0.403,24523.6,3485.5,0.136,NA,NA,NA,801.8,164.3,0.185,NA,NA,NA,51,8.75,0.215,27760.7,14137.7,0.497,NA,NA,NA,4829.888889,2715.888889,0.523333333,2950.4,1466.2,0.425,62682.48889,22465.13889,0.35839577,2.790833115,Area.Gram
557,9224.4,3246.1,0.399,20807.6,3058.6,0.123,NA,NA,NA,188.4444444,55.22222222,0.195555556,23,146,6.32,207.3333333,70.66666667,0.266666667,68880.4,35767,0.485,NA,NA,NA,13379.22222,5099.888889,0.354444444,43682.2,16181.5,0.371,156392.6,63624.97778,0.40682857,3.327809857,Area.Gram
558,968.4,415.1,0.403,48627.6,7826.2,0.158,NA,NA,NA,1115.6,145.2,0.169,16,106.5,6.53,64340,13502.4,0.191,46501,23727.66667,0.542222222,NA,NA,NA,53.375,25.5,0.48,67211,40562.4,0.603,228832.975,86310.96667,0.377178886,3.971183816,Area.Arhar..Tur.
559,560.9,140.4,0.282,6564.6,963.2,0.163,NA,NA,NA,90.8,16.3,0.151,49,338,6.9,131.4444444,27.625,0.31375,36335.3,17327.3,0.467,NA,NA,NA,3224.222222,959.1111111,0.301111111,15588.5,4857,0.31,62544.76667,24628.93611,0.393780926,2.419070028,Area.Gram
560,4172.2,1079,0.266,13921.9,3250.1,0.23,NA,NA,NA,2281.8,404.4,0.174,318,1860,5.85,243.1111111,65,0.373333333,16338,5166.6,0.365,NA,NA,NA,11306.22222,3265.333333,0.29,10790.4,3192.2,0.298,59371.63333,18282.63333,0.307935496,4.843437311,Area.Gram
561,1131.3,428.4,0.387,69742.6,11885.9,0.156,NA,NA,NA,482.9,93.2,0.193,1,7,7,37.44444444,9.444444444,0.218888889,36443.5,12599.2,0.371,NA,NA,NA,1845.333333,738.5555556,0.396666667,2354.7,687.7,0.273,112038.7778,26449.4,0.236073621,2.023770786,Area.Moong
562,1463.5,504.5,0.334,34007.6,7614.2,0.221,NA,NA,NA,387.5,79.2,0.208,11.5,67.5,5.895,1189.2,321.6,0.258,39204.1,17677.8,0.466,NA,NA,NA,3601.111111,1478.555556,0.408888889,2830.9,1547.3,0.535,82695.41111,29290.65556,0.354199286,2.515861592,Area.Gram
563,40,13.8,0.33,829.7,256.9,0.306,NA,NA,NA,565,105.1,0.191,NA,NA,NA,667.5,260.7,0.393,39.4,20.2,0.516,NA,NA,NA,411.7777778,220.3333333,0.436666667,116.4,55.4,0.489,2669.777778,932.4333333,0.349255036,4.347636415,Area.Moong
564,1477.5,467.3333333,0.382222222,15301.7,3981.4,0.264,NA,NA,NA,2128.1,357.2,0.175,43,257,5.99,939.1,271.2,0.287,1785.5,762.6,0.41,NA,NA,NA,6212.111111,2402.555556,0.41,3982.2,2095.7,0.533,31869.21111,10594.98889,0.332452186,3.392569602,Area.Moong
565,1265.7,433.3,0.359,2808.8,599.7,0.186,NA,NA,NA,2077.7,333.5,0.163,NA,NA,NA,149.2,54.8,0.36,21458.4,12927.6,0.611,NA,NA,NA,7174.888889,3203.444444,0.464444444,8641.3,3941.5,0.445,43575.98889,21493.84444,0.493249723,3.162435288,Area.Gram
566,5589,3957.8,0.756,4400.8,785.7,0.181,NA,NA,NA,62.9,13,0.189,30.5,183,5.995,73.1,19.2,0.238,8430.5,3157,0.405,NA,NA,NA,13138.11111,6884.222222,0.518888889,7761.1,4252.6,0.546,39486.01111,19252.52222,0.487578301,4.397753586,Area.HorseGram
567,2027.9,1034.6,0.651,1935.3,339.2,0.212,NA,NA,NA,1234.8,198.8,0.193,47,144,2.9,217.5,66.7,0.304,2372.6,748.2,0.359,NA,NA,NA,4465.111111,2841.444444,0.68,5691.4,5062.3,0.898,17991.61111,10435.24444,0.580006114,4.803319536,Area.Arhar..Tur.
568,408.8,204.1,0.532,1707.8,423.6,0.256,NA,NA,NA,481.1,79.1,0.181,57,360,6.3,326.6,115.4,0.369,120.2,62,0.532,NA,NA,NA,949.1111111,407.5555556,0.431111111,464.4,217.7,0.489,4515.011111,1869.455556,0.414053368,4.474391623,Area.Moong
569,259,103,0.4,366.1,97.5,0.266,NA,NA,NA,609.3333333,105.3333333,0.168888889,NA,NA,NA,6254.4,2466.1,0.397,135.6666667,134.6666667,0.696666667,NA,NA,NA,1447,1190.555556,0.857777778,NA,NA,NA,9071.5,4097.155556,0.451651387,1.968610452,Area.Urad
570,5105.6,2255,0.502,2209.8,419,0.19,NA,NA,NA,170.6,20.7,0.176,349,2153,6.625,787.4,165.8,0.218,4538.4,1954.4,0.412,NA,NA,NA,10661.22222,5010.333333,0.473333333,660,331,0.49,24482.02222,12309.23333,0.502786625,3.60164187,Area.HorseGram
571,14728.1,8588.2,0.571,4850.1,1452.4,0.348,NA,NA,NA,326.2,54.1,0.19,145,817,5.44,591.7,133.9,0.239,3895.7,1819.4,0.541,NA,NA,NA,32169.11111,13358,0.435555556,11992.9,7176.2,0.575,68698.81111,33399.2,0.48616853,3.289382717,Area.HorseGram
572,3431.6,1968.7,0.724,40.9,10,0.188,NA,NA,NA,174.6,37.9,0.241,132.5,983.5,7.455,40.2,11,0.237,196,98.8,0.458,NA,NA,NA,2058.222222,1455.444444,0.643333333,702.8,348,0.489,6776.822222,4913.344444,0.725021888,2.767280433,Area.Other.Kharif.Pulses
573,7504.8,3513.9,0.469,568.7,118.1,0.206,NA,NA,NA,777.5,118.3,0.151,350.5,1731,4.69,515,135.3,0.266,3439.25,1593.125,0.5225,NA,NA,NA,33491.44444,12195.11111,0.406666667,971.9,488.6,0.49,47619.09444,19893.43611,0.417761748,1.902190388,Area.HorseGram
574,9911.2,3411.5,0.356,2654.9,693.4,0.254,NA,NA,NA,4071.4,714.9,0.175,518,3752,6.91,920.7,210.9,0.244,2955.1,1441.3,0.509,NA,NA,NA,21835.11111,7805.777778,0.366666667,2319.2,707.8,0.308,45185.61111,18737.57778,0.414680189,3.326088224,Area.HorseGram
575,NA,NA,NA,780.5,209.9,0.27,NA,NA,NA,309.9,60.8,0.164,NA,NA,NA,2137.4,707.1,0.334,78,37,0.47,NA,NA,NA,74.71428571,25.14285714,0.348571429,NA,NA,NA,3380.514286,1039.942857,0.307628594,2.16217435,Area.Urad
576,360.2222222,159.2222222,0.43,NA,NA,NA,NA,NA,NA,365.1,55.1,0.165,46,277,6.02,NA,NA,NA,42.5,19.33333333,0.541666667,NA,NA,NA,65.16666667,22.83333333,0.391666667,15,8.5,0.57,893.9888889,541.9888889,0.606259088,2.944226317,Area.Other.Rabi.Pulses
577,29349.6,16398.5,0.587,5226,1534,0.298,NA,NA,NA,8909.6,1855,0.18,133.5,736.5,5.565,5816.8,1685.4,0.295,6814.7,4299.5,0.571,NA,NA,NA,57216.77778,22760.77778,0.401111111,4412.2,2442.6,0.543,117879.1778,51712.27778,0.438688823,3.20053994,Area.HorseGram
578,5457.1,2618.8,0.476,1908.3,598.1,0.309,NA,NA,NA,2203.1,330.7,0.171,311.5,1550,4.785,2500.8,793.6,0.313,4396.5,2319.3,0.549,NA,NA,NA,23689.11111,7458.666667,0.323333333,2010.9,812.7,0.405,42477.31111,16481.86667,0.388015772,2.867766949,Area.HorseGram
579,1822,445.6,0.251,104578.6,23134,0.21,NA,NA,NA,52.7,8.4,0.151,NA,NA,NA,48695.7,13862.6,0.283,130518.5,87039,0.664,NA,NA,NA,2528.555556,831,0.341111111,362770.5,180206.9,0.488,650966.5556,305527.5,0.469344389,2.616510583,Area.Arhar..Tur.
581,8931.9,4001,0.553,76.2,18.6,0.24,NA,NA,NA,117.25,21.375,0.225,3260.5,19536,6.07,24,5.75,0.205,1247.8,396.8,0.494,NA,NA,NA,10533.55556,3323.555556,0.334444444,5302.2,3493.4,0.646,29493.40556,30796.48056,1.04418191,3.764720063,Area.HorseGram
583,10066,3965.7,0.542,69.5,21.1,0.187,NA,NA,NA,159.4,29,0.223,455.5,3429,8.33,68.8,20.5,0.258,424,255.1111111,0.524444444,NA,NA,NA,9236,5993.555556,0.653333333,3492.6,2229.5,0.681,23971.8,15943.46667,0.665092595,2.884072373,Area.Other.Kharif.Pulses
585,7570,6797.5,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7570,6797.5,0.897952444,1,Area.Other.Kharif.Pulses
586,2272.5,1857.5,0.8275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272.5,1857.5,0.817381738,1,Area.Other.Kharif.Pulses
588,240.5,187,0.78,NA,NA,NA,NA,NA,NA,88.33333333,68.66666667,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,58.5,0.775,404.3333333,314.1666667,0.776999176,2.291532567,Area.Other.Kharif.Pulses
589,502.5,409,0.815,NA,NA,NA,NA,NA,NA,354,286.6666667,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,266.5,0.81,1185.5,962.1666667,0.81161254,2.891414338,Area.Other.Kharif.Pulses
590,450.5,343,0.76,NA,NA,NA,NA,NA,NA,307.6666667,233.6666667,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.5,217.5,0.76,1044.666667,794.1666667,0.760210593,2.874252079,Area.Other.Kharif.Pulses
591,262,197.5,0.755,NA,NA,NA,NA,NA,NA,41,31,0.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,11.5,0.74,318.5,240,0.753532182,1.437566649,Area.Other.Kharif.Pulses
592,619.5,459.5,0.74,NA,NA,NA,NA,NA,NA,109.6666667,81.33333333,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5,78.5,0.74,834.6666667,619.3333333,0.74201278,1.711979911,Area.Other.Kharif.Pulses
593,425.5,320.5,0.75,NA,NA,NA,NA,NA,NA,3074.666667,2310.333333,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2730,2051.5,0.75,6230.166667,4682.333333,0.751558278,2.271538791,Area.Other.Rabi.Pulses
594,132.5,94.5,0.71,NA,NA,NA,NA,NA,NA,7,5.333333333,0.913333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,0.875,142,101.8333333,0.71713615,1.144933708,Area.Other.Kharif.Pulses
595,1405.5,1001.5,0.715,NA,NA,NA,NA,NA,NA,249.3333333,177,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,162.5,0.71,1883.833333,1341,0.711846412,1.697972675,Area.Other.Kharif.Pulses
596,266,218.5,0.82,NA,NA,NA,NA,NA,NA,227.3333333,185.6666667,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.5,82,0.82,593.8333333,486.1666667,0.818692113,2.66068223,Area.Other.Kharif.Pulses
597,456,393,0.86,NA,NA,NA,NA,NA,NA,132.6666667,114.6666667,0.863333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.5,107,0.865,712.1666667,614.6666667,0.863093845,2.106333781,Area.Other.Kharif.Pulses
598,40.5,35,0.865,NA,NA,NA,NA,NA,NA,64.33333333,56,0.866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,66.5,0.875,180.8333333,157.5,0.870967742,2.829997043,Area.Arhar..Tur.
599,52,41.5,0.805,NA,NA,NA,NA,NA,NA,9,7,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,63,50.5,0.801587302,1.423090714,Area.Other.Kharif.Pulses
600,527,959.5,1.82,NA,NA,NA,NA,NA,NA,211,153.6666667,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,134.5,0.73,923,1247.666667,1.351751535,2.389870257,Area.Other.Kharif.Pulses
